userName,commentContent,createTime,courseId,courseName
qq_昔日曾经_0,@小伟562351 你可以将username password拿出来单独做个数据表,2017-07-16,679,基于SSH实现员工管理系统之案例实现篇
qq_昔日曾经_0,"<many-to-one name=""department"" class=""com.yj.employee.domain.Department"" column=""dno"" lazy=""false""/>   保证可以解决",2017-07-16,679,基于SSH实现员工管理系统之案例实现篇
千散,hibernate配置文件，在设置单对多映射关系是，<set>标签出错，然后<hibernate-mapping>标签报错，求解决,2017-07-14,679,基于SSH实现员工管理系统之案例实现篇
qq_昔日曾经_0,我觉的不要去创建多一个实现类 ，感觉多了会搞混的。,2017-07-13,679,基于SSH实现员工管理系统之案例实现篇
qq_昔日曾经_0,jdbc.url=jdbc:mysql://localhost:3306/ssh_employee?characterEncoding=utf-8 新建文数据库之后 ，你们要在jdbc.properties连接上去,2017-07-13,679,基于SSH实现员工管理系统之案例实现篇
镁粉儿,"我来说一下我对<s:iterator value=""list"" var=""d"">和<td align=""center""><s:property value=""#d.dname""/></td>这两句的理解，在struts标签库里面，StackValue是Stack Context的根元素，所以访问StackValue里面的pageBean.list不需要把pageBean写出来，然后list的每个元素即为上面的""d""，最后用#d.dname获取部门名称即可",2017-07-13,679,基于SSH实现员工管理系统之案例实现篇
镁粉儿,那些说find方法返回类型不匹配的，强转一下就行了....,2017-07-12,679,基于SSH实现员工管理系统之案例实现篇
lalala德玛西亚,哈哈 ，这个学了好久， 其中停电啊。生病啊什么的。耽误了好几天，幸好完美的做完了,2017-07-08,679,基于SSH实现员工管理系统之案例实现篇
寒夜飘雪,Cannot find class [com.mchange.v2.c3p0.ComboPolledDataSource],2017-07-07,679,基于SSH实现员工管理系统之案例实现篇
ohayo_sekayi,学完了，也照着写下来了，讲的不错，不过时间太久了   版本是不是应该升级了，另外我用的是myeclipse,2017-07-06,679,基于SSH实现员工管理系统之案例实现篇
慕哥8484010,有没有同学是,2017-07-05,679,基于SSH实现员工管理系统之案例实现篇
qq_为了美好的明天,老师真的6,2017-07-04,679,基于SSH实现员工管理系统之案例实现篇
qq_很现实_0,花了一天，睡觉,2017-07-04,679,基于SSH实现员工管理系统之案例实现篇
白天不懂天黑黑,教程都看完了，就差一块苹果表了～,2015-12-03,511,iOS-健康App系列之迈出你的第一步    
simplesoo,"<a href=""http://www.baidu.com"">baidu</a>",2015-11-04,511,iOS-健康App系列之迈出你的第一步    
冒牌大神,IOS终于来新课了，支持！~,2015-10-30,511,iOS-健康App系列之迈出你的第一步    
qq_馥郁_0,好崇拜啊  真想像各位老师这样牛,2017-07-14,511,iOS-健康App系列之迈出你的第一步    
Dawninest,这里有个地方写错了啊，得把sQuery里面的 quantitySamplePredicate给predicate才能得到当天的步数，不然就显示的是获取的总步数,2016-06-13,511,iOS-健康App系列之迈出你的第一步    
qq_无情酱油_0,请问这个有毛用啊？可以自己更改步数，那数据读出来还能用？,2016-03-15,511,iOS-健康App系列之迈出你的第一步    
qq_冢_0,HKObserverQuery 那个设置predicate的参数是不是没有作用啊  HKStatisticsQuery 设置predicate之后才能正确获取某一天的步数数据,2016-01-14,511,iOS-健康App系列之迈出你的第一步    
Realank刘,block里面调用self，一定要用weakSelf哦，作者疏忽了一点～,2016-01-03,511,iOS-健康App系列之迈出你的第一步    
朵朵熙熙丶,还真是极好,2015-12-11,511,iOS-健康App系列之迈出你的第一步    
sunnyke,适合入门学习,2015-11-08,511,iOS-健康App系列之迈出你的第一步    
Shirey,好课，网上搜好久了都没搜到！马了先！,2015-10-29,511,iOS-健康App系列之迈出你的第一步    
xzhang76,(续),2016-09-14,690,应用自动更新组件开发
xzhang76,总结一下：,2016-09-14,690,应用自动更新组件开发
慕粉3298833,不错，老师讲的很好，加油,2016-09-14,690,应用自动更新组件开发
xzhang76,虽然还没看完这个自定义handler的全部实现，但是我基本可以确定，这个自定义handler基本上是多余的，一个原生handler就可以做完所有事情。,2016-09-08,690,应用自动更新组件开发
Especially,如果有源码 对应我们学习肯定更好了,2016-09-06,690,应用自动更新组件开发
qq_Aha_1,源码哪里有啊,2016-09-01,690,应用自动更新组件开发
FallingFeather,比起我自己之前搞出来的自动更新，这个看着好高大上啊,2016-08-31,690,应用自动更新组件开发
qndroid,回复@好多个胖子：首先对你提出的建议表示感谢，你的前一部分建议很对，是可以把检查的部分放到manager类中，但进度的更新不放在处于UI线程的Service中要放到哪里呢？最后，不知道你看没看过AysncTask的源码，它的内部实现方式也是线程池+回调的处理，只不过是对外提供了封装而已，而且使用线程池主要是为了让他自己去管理线程的生命周斯，并不一定是为了使用多个线程。,2016-08-30,690,应用自动更新组件开发
Ty楓葉少年,老师，我问问，你的会回调方法什么时候会被调用，如何触发使得他被调用?我对于方法回调一窍不通啊？,2016-08-28,690,应用自动更新组件开发
charspan,全部实现了 就是下载后还要手动点击安装。。。。。,2016-08-25,690,应用自动更新组件开发
charspan,大家等我源码吧 哈哈哈,2016-08-25,690,应用自动更新组件开发
